Company,Location,Date,Level,NameTag,Years of Experience,At Company,Total Compensation (SGD),Base,Stock (yr),Bonus
IAG,Singapore, SG, Singapore,30/11/2023,-,Innovation,6 yrs,3 yrs,100.000,S$100 mil,N/A,N/A
Grab,Singapore, SG, Singapore,28/11/2023,G3,Data Science,1 yr,0 yrs,105.700,S$82.2 mil,9.5 mil,14 mil
ByteDance,Singapore, SG, Singapore,23/11/2023,2-1,Data,2 yrs,2 yrs,180.001,S$180 mil,N/A,N/A
DBS Bank,Singapore, SG, Singapore,20/11/2023,hidden,hidden,0-1 yrs,0-1 yrs,83.400,S$68.4 mil,N/A,15 mil
Grab,Singapore, SG, Singapore,19/11/2023,G3,Data,2 yrs,1 yr,80.000,S$80 mil,N/A,N/A
Experian,Singapore, SG, Singapore,15/11/2023,L2,Data Scientist,8 yrs,4 yrs,100.000,S$100 mil,N/A,N/A
Gojek Tech,Singapore, SG, Singapore,14/11/2023,L4,Machine Learning,7 yrs,4 yrs,140.001,S$140 mil,N/A,N/A
Grab,Singapore, SG, Singapore,12/11/2023,G3,Product,2 yrs,2 yrs,72.000,S$72 mil,N/A,N/A
Lazada,Singapore, SG, Singapore,12/11/2023,L3,Tech,2 yrs,1 yr,110.000,S$110 mil,N/A,N/A
Grab,Singapore, SG, Singapore,11/11/2023,G3,Analytics,4 yrs,2 yrs,84.000,S$84 mil,N/A,N/A
Henkel,Singapore, SG, Singapore,10/11/2023,-,Big Data,3 yrs,2 yrs,66.209 S$,66.2 mil,N/A,N/A
Shopee,Singapore, SG, Singapore,10/11/2023,Expert,AI,5 yrs,5 yrs,158.000 S$,114 mil,25 mil,19 mil
Starhub,Singapore, SG, Singapore,07/11/2023,-,Data Scientist,3 yrs,2 yrs,87.200 S$,74.5 mil,N/A,12.7 mil
Singtel,Singapore, SG, Singapore,04/11/2023,Associate,Data Science,2 yrs,2 yrs,76.000 S$,66 mil,N/A,10 mil
Micron Technology,Singapore, SG, Singapore,02/11/2023,E4,hidden,13 yrs,11 yrs,175.150 S$,152.2 mil,5 mil,18 mil
DBS Bank,Singapore, SG, Singapore,31/10/2023,Senior Associate,Finance,4 yrs,1 yr,102.000 S$,102 mil,N/A,N/A
Delivery Hero,Singapore, SG, Singapore,31/10/2023,IC3,Product Analyst,7 yrs,2 yrs,111.000 S$,96 mil,N/A,15 mil
Point72,Singapore, SG, Singapore,31/10/2023,L3,ML / AI,0 yrs,0 yrs,185.000 S$,185 mil,N/A,N/A
ByteDance,Singapore, SG, Singapore,31/10/2023,2-1,Tag,2 yrs,0 yrs,150.000 S$,150 mil,N/A,N/A
HTX,Singapore, SG, Singapore,22/10/2023,L1,Government,1 yr,1 yr,77.217 S$,77.2 mil,N/A,N/A
Grab,Singapore, SG, Singapore,21/10/2023,G6,Analytics,10 yrs,5 yrs,290.000 S$,170 mil,80 mil,40 mil
Facebook,Singapore, SG, Singapore,19/10/2023,IC4,Data,6 yrs,3 yrs,190.001 S$,150 mil,40 mil,N/A
